INDEX,Communauté,Conférence,Role1,Role2,Type,Nom_compte,Twitter_handle,Abonnements,Abonnés,Tweets_totale_période,Date_début,Date_fin,Retweets,Likes,Mentions,#CHAOSSCon,#FOSDEM,#FOSDEM2020,Autre#
1,Open source,CHAOSS,organisateur,,institution,CHAOSS Project,CHAOSSproj,6,440,290,03/10/19,21/02/20,,,,#CHAOSSCon,na,na,
2,Open source,CHAOSS,speaker,,individu,Georg Link,GeorgLink,869,392,,,,,,,,,,
3,Open source,CHAOSS,speaker,,individu,Isabella Vieira Ferreira,isaferreira_57,312,81,,,,,,,,,,
4,Open source,CHAOSS,speaker,,individu,Johan Linåker,johanlinaker,342,303,,,,,,,,,,
5,Open source,CHAOSS,speaker,,individu,Jose Manrique Lopez de la Fuente,jsmanrique,1242,2243,,,,,,,,,,
6,Open source,CHAOSS,speaker,,individu,Justin W. Flory,jflory7,66,965,,,,,,,,,,
7,Open source,CHAOSS,speaker,,individu,Kevin Lumbard,Paper_Monkeys,230,99,,,,,,,,,,
8,Open source,CHAOSS,speaker,,individu,Matt Broberg,mbbroberg,1558,5591,78,29/01/20,02/02/20,,,@opensourceway,#CHAOSSCon,#FOSDEM,na,
9,Open source,CHAOSS,speaker,,individu,Matt Germonprez,germ,34,43,,,,,,,,,,
10,Open source,CHAOSS,speaker,,individu,Ray Paik,rspaik,41,172,,,,,,,,,,
11,Open source,CHAOSS,speaker,,individu,Remy DeCausemaker,Remy_D,3823,1801,,,,,,,,,,
12,Open source,CHAOSS,speaker,,individu,Sean Goggins,sociallycompute,1841,657,,,,,,,,,,
13,Open source,CHAOSS,speaker,,individu,Tom Mens,tom_mens,66,524,,,,,,,,,,
14,Open source,CHAOSS,speaker,,individu,Yo Yehudi,yoyehudi,2412,1608,499,31/01/20,02/02/20,,,,#CHAOSSCon,#FOSDEM,#FOSDEM2020,#community
15,Open source,CHAOSS,speaker,,individu,Ahmed Zerouali,a_zerou,229,82,,,,,,,,,,
16,Open source,CHAOSS,speaker,,individu,Alberto Pérez García-Plaza,alpgarcia,215,131,,,,,,,,,,
17,Open source,CHAOSS,speaker,,individu,Brian Proffitt,TheTechScribe,612,3675,34,27/01/20,31/01/20,,,,#CHAOSSCon,#FOSDEM,na,#OpenSource
18,Open source,CHAOSS,speaker,,individu,Camille Moulin,Camille_OS,147,184,,,,,,,,,,
19,Open source,CHAOSS,speaker,,individu,Cecilia Chapiro,ceciliachapiro,97,148,,,,,,,,,,
20,Open source,CHAOSS,speaker,,individu,Celya Gruson-Daniel,celyagd,3136,3458,,,,,,,,,,
21,Open source,CHAOSS,speaker,,individu,Daniel Izquierdo,dizquierdo,634,613,,,,,,,,,,
22,Open source,CHAOSS,speaker,,individu,Duane O'Brien,DuaneOBrien,1116,1719,,,,,,,,,,
23,Open source,CHAOSS,live tweeter,,individu,Jacob Green,jacoblyopen,237,131,,,,,,,,,,
24,Open source,CHAOSS,live tweeter,,individu,Kate Stewart,_kate_stewart,789,653,,,,,,,,,,
25,Open source,CHAOSS,live tweeter,,individu,Jacob Redding,jredding,489,2059,,,,,,,,,,
26,Open source,CHAOSS,live tweeter,,individu,Philip Durbin,philipdurbin,456,867,,,,,,,,,,
27,Open source,CHAOSS,live tweeter,,individu,harishpillay,harishpillay,4663,2817,,,,,,,,,,
28,Open source,CHAOSS,organisateur,,institution,Bitergia,Bitergia,675,1367,,,,,,,,,,
29,Open source,CHAOSS,live tweeter,,individu,Kristof Goossens,kgoossens,1024,465,,,,,,,,,,
30,Open source,CHAOSS,live tweeter,,individu,Stephen Walli,stephenrwalli,5000,3018,18,31/01/20,02/02/20,,,,#CHAOSSCon,#FOSDEM,na,
31,Open source,CHAOSS,amplificateur,,individu,Michael Downey,downey,680,3082,4,31/01/20,02/02/20,,,@heatharensen,#CHAOSSCon,#FOSDEM,na,
32,Open source,CHAOSS,amplificateur,,individu,Donna Benjamin,kattekrab,1095,3199,2,31/01/20,01/02/20,,,,#CHAOSSCon,na,na,
33,Open source,CHAOSS,amplificateur,,individu,Jesus M Gonzalez-Barahona,jgbarah,483,3131,36,31/01/20,02/02/20,,,,#CHAOSSCon,#FOSDEM,na,
34,Open source,CHAOSS,live tweeter,,individu,Josh Dzielak,dzello,525,4613,14,28/01/20,31/01/20,,,,#CHAOSSCon,#FOSDEM,na,
35,Open source,CHAOSS,live tweeter,,institution,Red Hat Community,redhatopen,1335,"23,4k",18,31/01/20,01/02/20,,,,#CHAOSSCon,#FOSDEM,#FOSDEM2020,
36,Open source,CHAOSS,live tweeter,,individu,Farbod Saraf,farbodsaraf,"19,4k","34,6k",1,31/01/20,31/01/20,,,,#CHAOSSCon,na,na,
37,Open source,CHAOSS,live tweeter,,individu,Ana Jimenez Santamaria,anajsana95,312,289,,,,,,,,,,
38,Open source,CHAOSS,live tweeter,,individu,Michelle Mannering,MishManners,1885,4346,48,31/01/20,01/02/20,,,,#CHAOSSCon,na,na,
