Label,eigencentrality,betweenesscentrality,affiliation_pro
farbodsaraf,1,135116.808442,Miro
GeorgLink,0.924146,50795.133833,Linux Foundation
coni2k,0.883232,0,independant
jsmanrique,0.857909,65248.691213,Bitergia 
Bitergia,0.828056,62535.56696,Bitergia 
dizquierdo,0.819669,23232.592793,Bitergia 
yoyehudi,0.801578,0,Cambridge
CHAOSSproj,0.797601,41152.559752,Linux Foundation
geekygirldawn,0.795019,0,Vmware
TheTechScribe,0.792425,52777.390422,Red Hat
celyagd,0.445052,145860.266585,Inno³
antoinentl,0.058142,88602.385968,Univ.Montréal
sunnydeveloper,0.53409,83406.52671,Mozilla
mbbroberg,0.775478,77462.079446,Opensource.com
harishpillay,0.728295,72398.705004,Red Hat
redhatopen,0.490136,66037.064278,Red Hat
Remy_D,0.770923,63316.797655,Spotify
Yomguithereal,0.03815,63139.970202,Sciences Po
jgbarah,0.765499,50836.611433,Bitergia 
offrayLC,0.039571,60864.285056,UnivJaveriana
