Source,Target
"9,53304055337669E+017","9,09787591670628E+017"
"9,53304055337669E+017",14706299
"9,53304055337669E+017",2806000111
"9,53304055337669E+017","1,02364813259543E+018"
"9,53304055337669E+017","8,92376954678235E+017"
"9,53304055337669E+017","9,53305718966366E+017"
71762380,4834919436
71762380,27794232
71762380,1877714197
71762380,13696102
71762380,37030214
71762380,"7,80490134655529E+017"
71762380,96435044
71762380,776402106
71762380,2819790952
71762380,29584571
71762380,14069393
71762380,126388704
71762380,"1,15747562773117E+018"
71762380,544273219
71762380,15163015
71762380,633385022
71762380,3300817955
71762380,1034745380
71762380,622718983
71762380,15714104
71762380,"1,22709093951814E+018"
71762380,10821
71762380,3372431615
71762380,"7,78043404924101E+017"
71762380,811989608
71762380,2890087500
71762380,16695645
71762380,"1,03567676238076E+018"
71762380,2856932848
71762380,"1,01022356972741E+018"
71762380,"8,724497669318E+017"
71762380,4759631
71762380,628562704
71762380,102099663
71762380,10313032
71762380,"1,22264180463545E+018"
71762380,1131195510
71762380,16329099
71762380,"1,07474126656129E+018"
71762380,256900512
71762380,"1,05217527698822E+018"
71762380,"1,19380748794375E+018"
71762380,52393154
71762380,351927492
71762380,18326200
71762380,1530096708
71762380,85556721
71762380,153158056
71762380,3198211826
71762380,215392461
71762380,45297280
71762380,24179991
71762380,46066476
71762380,"1,01235503154951E+018"
71762380,12589692
71762380,"1,15821401019564E+018"
71762380,242072382
71762380,13216972
71762380,"7,44302714226545E+017"
71762380,14054507
71762380,525865132
71762380,"8,70828949382853E+017"
71762380,1919080465
71762380,"9,82443027493896E+017"
71762380,"1,03151379795606E+018"
71762380,40030151
71762380,73296672
71762380,"7,43073543919927E+017"
71762380,1651194487
71762380,1367767688
71762380,2643354500
71762380,76605694
71762380,13235832
71762380,101186457
71762380,"8,434732230482E+017"
71762380,"1,17946330769182E+018"
71762380,"1,04618535672535E+018"
71762380,26093892
71762380,"1,1761878648093E+018"
71762380,"8,16948136841253E+017"
71762380,202657505
71762380,2307040357
71762380,14502367
71762380,360211556
71762380,1716606662
71762380,61677971
71762380,6686242
71762380,733230811
71762380,21090358
71762380,57205153
71762380,15040566
71762380,49294244
71762380,1068951084
71762380,24877257
71762380,"7,60154572627317E+017"
71762380,"1,12976634589628E+018"
71762380,"1,14898617777864E+018"
71762380,18966808
71762380,1068547920
71762380,24274695
71762380,"9,37227324994589E+017"
71762380,4217023737
71762380,3072428747
71762380,"9,1818678199183E+017"
71762380,14440594
71762380,16804761
71762380,45036289
71762380,7056162
71762380,17735070
71762380,2496041376
71762380,12387972
71762380,234673056
71762380,4997711
71762380,9720922
71762380,50706020
71762380,244131858
71762380,14427198
71762380,14429713
71762380,58926052
71762380,23777840
71762380,124036182
71762380,"7,33016778289226E+017"
71762380,"8,52258448561639E+017"
71762380,"9,09787591670628E+017"
71762380,"7,78429472278098E+017"
71762380,17032014
71762380,625585673
71762380,80523
71762380,16620110
71762380,147282282
71762380,15661864
71762380,24758605
71762380,18084928
71762380,312011124
71762380,67430296
71762380,259927826
71762380,"9,38861752808227E+017"
71762380,118172970
71762380,216193075
71762380,8870242
71762380,19250247
71762380,4858563561
71762380,15376576
71762380,45671972
71762380,121075855
71762380,12475182
71762380,81254246
71762380,285428413
71762380,5379862
71762380,16385118
71762380,1654119458
71762380,15301028
71762380,4057811
71762380,14309129
71762380,14164724
71762380,3131120266
71762380,362022429
71762380,1608386678
71762380,731717526
71762380,258020873
71762380,2306462901
71762380,273404950
71762380,3170301
71762380,71906095
71762380,78247357
71762380,1648999932
71762380,"7,87780879741547E+017"
71762380,4749979016
71762380,360002161
71762380,15797140
71762380,170700315
71762380,329616688
71762380,212632603
71762380,65677968
71762380,15488482
71762380,"9,42617268852105E+017"
71762380,4273331961
71762380,62449855
71762380,11658172
71762380,1575847291
71762380,70703518
71762380,2313734496
71762380,45678357
71762380,15982862
71762380,"9,42544632898081E+017"
71762380,3365618279
71762380,50393960
71762380,152022069
71762380,"1,12845270247046E+018"
71762380,1581471108
71762380,15692193
71762380,1618431
