Id,Label
"9,09787591670628E+017",ApacheKibble
14706299,linuxfoundation
2806000111,todogroup
"1,02364813259543E+018",AugurLabs
"8,92376954678235E+017",secohealth
"9,53305718966366E+017",GrimoireLab
4834919436,BistAastha
27794232,john_cogs
1877714197,Don_Watkins
13696102,indexzero
37030214,mrbeersnob
"7,80490134655529E+017",the_gundalow
96435044,Jan_Ainali
776402106,StefanieButland
2819790952,NewtonLanguages
29584571,1nuritzi
14069393,Techivist
126388704,PrivacyPros
"1,15747562773117E+018",DonataSkillrud
544273219,DanCimpean
15163015,spamaps
633385022,JenWike
3300817955,jill_linuxgirl
1034745380,MaireadtOConnor
622718983,merinhunter_
15714104,marianarra_
"1,22709093951814E+018",MonetizeOSS
10821,bmann
3372431615,cphjordan
"7,78043404924101E+017",gustavogmarmol
811989608,alyssapwright
2890087500,TimLehnen
16695645,toscalix
"1,03567676238076E+018",megansanicki
2856932848,matkuzak
"1,01022356972741E+018",gutsytechster
"8,724497669318E+017",JJ_Merchante
4759631,jredding
628562704,mureinik
102099663,shirleybailes
10313032,HeatherLeson
"1,22264180463545E+018",merinhunter
1131195510,SeanTMcGinnis
16329099,rainleander
"1,07474126656129E+018",Helad11
256900512,farbodsaraf
"1,05217527698822E+018",harshil1712
"1,19380748794375E+018",rodolphodev
52393154,agostbiro
351927492,CodeCurmudgeon
18326200,philipdurbin
1530096708,jesslynnrose
85556721,MiniRidley
153158056,celyagd
3198211826,iamharaldur
215392461,milendyankov
45297280,dzello
24179991,dvassallo
46066476,OSOReu
"1,01235503154951E+018",OrbitModel
12589692,RichMillington
"1,15821401019564E+018",sos_opensource
242072382,gianmerlino
13216972,edsiper
"7,44302714226545E+017",dev_nikema
14054507,edent
525865132,p3ery
"8,70828949382853E+017",mayur_p_joshi
1919080465,revuwusi
"9,82443027493896E+017",ljvmiranda921
"1,03151379795606E+018",DebSoumyajit
40030151,patrickjwoods
73296672,twoenigmas
"7,43073543919927E+017",snoot_io
1651194487,MagickNET
1367767688,PieterHumphrey
2643354500,NPRougier
76605694,Gwmngilfen
13235832,natfriedman
101186457,KatiMichel
"8,434732230482E+017",parthshar2
"1,17946330769182E+018",COSSSociety
"1,04618535672535E+018",HeatherMeeker4
26093892,kevinsxu
"1,1761878648093E+018",COSSMedia
"8,16948136841253E+017",alexbdebrie
202657505,traviskimmel
2307040357,thebent
14502367,mglukhovsky
360211556,yanranzhou
1716606662,__emmadickson
61677971,dxhuang
6686242,sarassassin
733230811,BrandeisGPS
21090358,deniswsrosa
57205153,rachelpedreschi
15040566,RCheesley
49294244,amroihasan
1068951084,NumFOCUS
24877257,mmillions
"7,60154572627317E+017",CodeDotGov
"1,12976634589628E+018",SourceOptics
"1,14898617777864E+018",LawThe3rd
18966808,toddlew
1068547920,mariam_gui
24274695,hopsoft
"9,37227324994589E+017",andrewmcodes
4217023737,CPaterson2015
3072428747,joerg_schad
"9,1818678199183E+017",HPWizardsUnite
14440594,lcalcote
16804761,roesslerj
45036289,OpenAtMicrosoft
7056162,bureado
17735070,acruiz
2496041376,mattj_io
12387972,arungupta
234673056,DishBrown
4997711,gravax
9720922,jennifercloer
50706020,gsingers
244131858,christianposta
14427198,adamblum
14429713,venkat_s
58926052,dave_strebel
23777840,lnxchk
124036182,pythondj
"7,33016778289226E+017",sbtaylor15
"8,52258448561639E+017",ApacheCommunity
"7,78429472278098E+017",_cocotang
17032014,etagwerker
625585673,TLDRLegal
80523,jmckenty
16620110,MarcDrummond
147282282,sugaroverflow
15661864,sparklingrobots
24758605,palantir
18084928,farriss
312011124,GluuFederation
67430296,tracymiranda
259927826,kevinverse
"9,38861752808227E+017",blatanterror
118172970,timani_zw
216193075,CarloskCheung
8870242,sramkrishna
19250247,mindthegabz
4858563561,FINOSFoundation
15376576,nearyd
45671972,MendOrshikh
121075855,markcartertm
12475182,gwintrob
81254246,jmertic
285428413,jessfraz
5379862,kstewart
16385118,duncanjw
1654119458,kjjaeger
15301028,VanL
4057811,johnnewton
14309129,andigutmans
14164724,sarahmei
3131120266,0h_look
362022429,lukego
1608386678,fevir0
731717526,BrucePerens
258020873,ahachete
2306462901,alanmnichol
273404950,alexweidauer
3170301,ealeyner
71906095,as_w
78247357,calebhailey
1648999932,asynchio
"7,87780879741547E+017",j_schottenstein
4749979016,rwreact
360002161,Benghamine
15797140,hhariri
170700315,fedor
329616688,avladishev
212632603,PeterZaitsev
65677968,NEDHHS
15488482,TechJournalist
"9,42617268852105E+017",clearlydefd
4273331961,marcopereira71
62449855,dfarrell07
11658172,raseel
